ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,"< $10K",2019,"2019","true","true",17042451,95317.60198287971,835057,"United States","01000US","united-states",0.11556759952992722
2,"$10-20k",2019,"2019","true","true",18892384,99643.37250557024,848357,"United States","01000US","united-states",0.12811229254979842
3,"$20-30k",2019,"2019","true","true",20640639,103441.25040824826,911251,"United States","01000US","united-states",0.13996749070857223
4,"$30-40k",2019,"2019","true","true",19166321,100256.20829823786,875269,"United States","01000US","united-states",0.12996990337774975
5,"$40-50k",2019,"2019","true","true",15446173,91297.53946066824,731539,"United States","01000US","united-states",0.1047429818360032
6,"$50-60k",2019,"2019","true","true",12628591,83427.96438350446,615952,"United States","01000US","united-states",0.08563650541317344
7,"$60-70k",2019,"2019","true","true",9446324,73001.34604451267,465426,"United States","01000US","united-states",0.06405704138811608
8,"$70-80k",2019,"2019","true","true",6957184,63211.69572615693,343645,"United States","01000US","united-states",0.04717778295903666
9,"$80-90k",2019,"2019","true","true",5694805,57446.33400501996,283176,"United States","01000US","united-states",0.03861738805298764
10,"$90-100k",2019,"2019","true","true",3828157,47408.71350722037,192508,"United States","01000US","united-states",0.025959347931449977
11,"$100-110k",2019,"2019","true","true",4097686,49003.2397579554,206456,"United States","01000US","united-states",0.027787067402886438
12,"$110-120k",2019,"2019","true","true",2035049,34781.2106203274,103588,"United States","01000US","united-states",0.013799994370280358
13,"$120-130k",2019,"2019","true","true",2227697,36366.163135774106,113413,"United States","01000US","united-states",0.015106371423336954
14,"$130-140k",2019,"2019","true","true",1324487,28128.040361589312,68152,"United States","01000US","united-states",0.008981559236907573
15,"$140-150k",2019,"2019","true","true",938473,23708.240422006944,48494,"United States","01000US","united-states",0.006363936257387473
16,"$150-160k",2019,"2019","true","true",1151395,26241.26902804472,59690,"United States","01000US","united-states",0.007807794563162339
17,"$160-170k",2019,"2019","true","true",833119,22345.908872593674,43181,"United States","01000US","united-states",0.005649513849432423
18,"$170-180k",2019,"2019","true","true",514213,17574.694217793032,26847,"United States","01000US","united-states",0.003486961004440175
19,"$180-190k",2019,"2019","true","true",535167,17927.921799044932,27834,"United States","01000US","united-states",0.0036290534464574705
20,"$190-200k",2019,"2019","true","true",314971,13764.034395106904,16554,"United States","01000US","united-states",0.0021358689775045096
21,"$200k+",2019,"2019","true","true",3752093,46947.779573723594,201901,"United States","01000US","united-states",0.02544354572138968
1,"< $10K",2019,"2019","true","true",605782,17762.30117077881,28964,"Michigan","04000US26",,0.13596252906796016
2,"$10-20k",2019,"2019","true","true",610820,17824.33403492429,27961,"Michigan","04000US26",,0.1370932645824594
3,"$20-30k",2019,"2019","true","true",606922,17776.373843005433,27813,"Michigan","04000US26",,0.13621839220542128
4,"$30-40k",2019,"2019","true","true",576549,17394.09524053382,26846,"Michigan","04000US26",,0.12940143512287153
5,"$40-50k",2019,"2019","true","true",453953,15676.387124336356,22156,"Michigan","04000US26",,0.10188582354376281
6,"$50-60k",2019,"2019","true","true",374249,14374.857320102019,18648,"Michigan","04000US26",,0.08399695029095454
7,"$60-70k",2019,"2019","true","true",287675,12735.979658615735,14174,"Michigan","04000US26",,0.06456616497292003
8,"$70-80k",2019,"2019","true","true",212861,11053.317389877802,10448,"Michigan","04000US26",,0.0477748099150108
9,"$80-90k",2019,"2019","true","true",167810,9866.137320829717,8181,"Michigan","04000US26",,0.037663502716974745
10,"$90-100k",2019,"2019","true","true",109128,8010.471660032373,5229,"Michigan","04000US26",,0.024492835495489064
11,"$100-110k",2019,"2019","true","true",114370,8195.661258328859,5505,"Michigan","04000US26",,0.025669357045112935
12,"$110-120k",2019,"2019","true","true",57095,5828.7199010099,2755,"Michigan","04000US26",,0.012814478801177958
13,"$120-130k",2019,"2019","true","true",60934,6018.8619055011595,2869,"Michigan","04000US26",,0.013676109138645726
14,"$130-140k",2019,"2019","true","true",32935,4439.0750071595185,1552,"Michigan","04000US26",,0.0073919758177913315
15,"$140-150k",2019,"2019","true","true",23852,3781.5649643265397,1175,"Michigan","04000US26",,0.005353375048002393
16,"$150-160k",2019,"2019","true","true",26821,4008.677525302981,1291,"Michigan","04000US26",,0.006019741412144566
17,"$160-170k",2019,"2019","true","true",18600,3341.35660843889,920,"Michigan","04000US26",,0.004174609084892022
18,"$170-180k",2019,"2019","true","true",13062,2801.831818985514,589,"Michigan","04000US26",,0.0029316528960677203
19,"$180-190k",2019,"2019","true","true",13343,2831.719494149046,616,"Michigan","04000US26",,0.0029947209150384007
20,"$190-200k",2019,"2019","true","true",7417,2112.6478690365007,364,"Michigan","04000US26",,0.0016646814829378565
21,"$200k+",2019,"2019","true","true",81329,6937.406384122422,4069,"Michigan","04000US26",,0.018253590444364694
1,"< $10K",2018,"2018","true","true",17555653,96456.22527051755,854123,"United States","01000US","united-states",0.12078716589666996
2,"$10-20k",2018,"2018","true","true",19524788,100935.2301845988,873885,"United States","01000US","united-states",0.13433529400776553
3,"$20-30k",2018,"2018","true","true",21188690,104450.57368287545,940372,"United States","01000US","united-states",0.14578334478148502
4,"$30-40k",2018,"2018","true","true",18402436,98427.33329916793,847441,"United States","01000US","united-states",0.12661323905381655
5,"$40-50k",2018,"2018","true","true",15266406,90749.82635532656,726971,"United States","01000US","united-states",0.10503658930647113
6,"$50-60k",2018,"2018","true","true",12290467,82351.8880370812,599977,"United States","01000US","united-states",0.08456140460719676
7,"$60-70k",2018,"2018","true","true",9341119,72585.46774018482,459137,"United States","01000US","united-states",0.06426917246049098
8,"$70-80k",2018,"2018","true","true",6567931,61481.96855726834,324120,"United States","01000US","united-states",0.045188963993243736
9,"$80-90k",2018,"2018","true","true",5153214,54736.24643369939,256069,"United States","01000US","united-states",0.03545536667414435
10,"$90-100k",2018,"2018","true","true",3678745,46489.80333173915,184519,"United States","01000US","united-states",0.025310661050690915
